DYRK1A_N,ITSN1_N,BDNF_N,NR1_N,NR2A_N,pAKT_N,pBRAF_N,pCAMKII_N,pCREB_N,pELK_N,pERK_N,pJNK_N,PKCA_N,pMEK_N,pNR1_N,pNR2A_N,pNR2B_N,pPKCAB_N,pRSK_N,AKT_N,BRAF_N,CAMKII_N,CREB_N,ELK_N,ERK_N,GSK3B_N,JNK_N,MEK_N,TRKA_N,RSK_N,APP_N,Bcatenin_N,SOD1_N,MTOR_N,P38_N,pMTOR_N,DSCR1_N,AMPKA_N,NR2B_N,pNUMB_N,RAPTOR_N,TIAM1_N,pP70S6_N,NUMB_N,P70S6_N,pGSK3B_N,pPKCG_N,CDK5_N,S6_N,ADARB1_N,AcetylH3K9_N,RRP1_N,BAX_N,ARC_N,ERBB4_N,nNOS_N,Tau_N,GFAP_N,GluR3_N,GluR4_N,IL1B_N,P3525_N,pCASP9_N,PSD95_N,SNCA_N,Ubiquitin_N,pGSK3B_Tyr216_N,SHH_N,BAD_N,BCL2_N,pS6_N,pCFOS_N,SYP_N,H3AcK18_N,EGR1_N,H3MeK4_N,CaNA_N,class
0.467165809,0.6284510999999999,0.25596630800000003,1.785680861,2.8486975510000003,0.198253003,0.158633599,2.607549524,0.186710342,1.42551864,0.6744657620000001,0.264545313,0.247387303,0.237404461,0.649508657,0.623927624,1.347059741,0.994072688,0.344875994,0.5415691779999999,0.404773046,0.29870535,0.1620652,0.8549368270000001,2.440648885,0.8848853529999999,0.205116207,0.242863828,0.5960068629999999,0.129464982,0.400405553,1.816253315,0.2749961,0.343628139,0.30385275300000003,0.624707534,0.533926065,0.25534238,0.421307128,0.328029949,0.260021837,0.329589768,0.151458431,0.18128655,1.169948681,0.159446235,0.985917174,0.30457095100000003,0.418904404,0.71500179,0.200023869,0.15992361900000002,0.174603175,0.124955245,0.160639694,0.17782551600000002,0.189521423,0.123165055,0.267335004,0.146079484,0.6648764770000001,0.275331185,1.926960258,2.47905478,0.146318176,1.104189044,0.786490035,0.229263635,0.0,0.145124717,0.124955245,0.124597207,0.391932211,0.0,0.0,0.0,1.544695071,4
0.7126089870000001,0.908283032,0.253353454,1.922367539,3.242622401,0.18494299100000006,0.148725687,2.209758551,0.179577465,1.693158954,1.154091214,0.264922871,0.236586184,0.225519785,0.733065057,0.637659289,1.467471496,1.152414487,0.325788062,0.60546613,0.642018779,0.298289738,0.145539906,0.946847753,2.470657277,1.102112676,0.218477532,0.235580148,0.540241449,0.132629108,0.4272300470000001,1.772635815,0.287894031,0.395707579,0.333668679,0.642186452,0.5943997320000001,0.317739772,0.471663313,0.378940309,0.260060362,0.376592891,0.15358819599999998,0.181871632,1.222537972,0.150612445,0.711611955,0.287898089,0.524154826,1.000293974,0.098089172,0.155707986,0.183733464,0.11288584,0.139735424,0.193532582,0.229201372,0.113963743,0.236452719,0.131504165,0.569034787,0.249681529,1.56844684,2.0695737380000003,0.142969133,1.010877021,0.852621264,0.232239098,0.131700147,0.116609505,0.11288584,0.13944145,0.34355708,0.11788339,0.16256736900000002,0.157961783,1.543263106,4
0.34114888600000004,0.483001172,0.325908558,2.246424385,3.4801875730000003,0.272215709,0.20304806600000005,4.28862837,0.21852286,1.406799531,0.421805393,0.330128957,0.351934349,0.337866354,0.801172333,0.714419695,1.4996483,1.548651817,0.455334115,0.630011723,0.305978898,0.357796014,0.204454865,1.012426729,1.958030481,1.103634232,0.254161782,0.28933177,0.648065651,0.182649472,0.461899179,1.946072685,0.5406799529999999,0.527784291,0.513950762,0.8018757329999999,0.614302462,0.405158265,0.607033998,0.397655334,0.392731536,0.495193435,0.6,0.126064227,0.632262883,0.168185213,2.198506348,0.29798357,0.32442121,1.055713219,0.172218073,0.179238237,0.164600448,0.098730396,0.146975355,0.145182972,0.149066468,0.131441374,0.242270351,0.150261389,0.448095594,0.323973114,1.460941001,2.031665422,0.176101568,1.263928305,0.804331591,0.203286034,0.205377147,0.0,0.098730396,0.149066468,0.463330844,0.193577296,0.240179238,0.29021658,0.933980583,7
0.838115774,1.034168187,0.287444021,2.110963676,3.3464919560000004,0.191905789,0.148946757,2.282965666,0.202355283,2.032675402,1.158235197,0.268369547,0.260242163,0.223917731,0.694974291,0.5493448329999999,1.504063692,1.3902803119999998,0.355448665,0.620832642,0.762647205,0.3552828,0.155913087,1.090728147,2.693979101,1.370210649,0.220102836,0.255266213,0.687842097,0.17332891,0.422458119,1.913750207,0.283131531,0.362912589,0.256095538,0.602587494,0.5004146620000001,0.307181954,0.440869133,0.34582849600000004,0.23984077,0.339691491,0.15043954199999998,0.211378649,1.053164287,0.174621777,1.011932666,0.30396335,0.6155976989999999,0.8307053059999999,0.095354784,0.164713403,0.193586192,0.111442574,0.145962071,0.168761986,0.238972938,0.12465374,0.215214149,0.112188366,0.423076923,0.256978479,1.349776263,2.509482208,0.130620072,1.106008949,0.827722139,0.225442148,0.114319199,0.0,0.111442574,0.102386533,0.337097805,0.10217345,0.15192840400000002,0.163008736,1.676646069,5
0.253497164,0.40831758,0.2463138,1.878071834,2.84952741,0.235727788,0.180718336,3.442155009,0.179773157,1.071266541,0.315689981,0.325141777,0.27032136100000004,0.27750472600000003,0.709073724,0.627410208,1.29584121,1.165028355,0.4457466920000001,0.661058601,0.244234405,0.379017013,0.172589792,0.874291115,2.019470699,1.027410208,0.217769376,0.243856333,0.573534972,0.174291115,0.284120983,1.607750473,0.543667297,0.386956522,0.34045368600000003,0.692627599,0.539697543,0.288468809,0.4536862,0.281285444,0.271455577,0.34120983,0.295463138,0.183760079,1.009902391,0.157023624,1.669826001,0.295515632,0.33866176299999995,0.8844249540000001,0.12095063,0.170038195,0.194652709,0.12618475,0.16834064199999998,0.189842976,0.205686802,0.108643372,0.206818503,0.111189702,0.57476305,0.282501061,1.526665724,2.454661197,0.158721177,1.395812703,0.993351252,0.226764747,0.195925874,0.0,0.12618475,0.18432593,0.527373037,0.0,0.251520724,0.0,1.331730089,2
0.489420423,0.64949402,0.258141674,1.946642134,3.232014719,0.201839926,0.143146274,1.587672493,0.165041398,1.59300828,0.640478381,0.23275069,0.244894204,0.192272309,0.7488500459999999,0.51149954,1.3580496780000002,1.19374425,0.33799448,0.577920883,0.384728611,0.312235511,0.129898804,0.943146274,2.21324747,1.063845446,0.19374425,0.188592456,0.5643054279999999,0.118307268,0.390616375,1.6785648569999998,0.279484821,0.427782889,0.35124195,0.659981601,0.5849126029999999,0.321987121,0.478012879,0.386936523,0.301379945,0.415087397,0.169273229,0.187143656,0.8145332590000001,0.150922303,0.71000559,0.27333706,0.436892119,1.066182225,0.064728899,0.166685299,0.116489659,0.09077697,0.130128563,0.115036333,0.138177753,0.137730576,0.147792063,0.090329793,0.411291224,0.243376188,1.272666294,1.539519285,0.143991056,0.976634992,0.660816098,0.184572387,0.115930688,0.112241476,0.09077697,0.146562325,0.288764673,0.100279486,0.1529346,0.137730576,0.944997205,5
0.887376701,0.972655762,0.301410913,2.2639530530000003,3.646148083,0.18441753,0.144712199,2.503808216,0.185291547,1.836309152,0.93307529,0.221001373,0.283181421,0.212885504,0.7756274190000001,0.416905981,1.432513422,1.361468348,0.448495443,0.568485454,0.6465226620000001,0.29242102600000003,0.154576102,1.007116993,2.146585092,1.46535148,0.202896741,0.222999126,0.638656511,0.13434885800000002,0.4165314020000001,2.211512049,0.279685354,0.368585341,0.34760894,0.60706705,0.480709202,0.319890124,0.489699089,0.31277313,0.285304033,0.384317643,0.377700087,0.170554402,0.917398946,0.17486819,1.437609842,0.26737498,0.4893753,1.01110401,0.232704905,0.15881131199999998,0.182776801,0.110720562,0.154177984,0.17910209300000002,0.213452628,0.11679182,0.261623263,0.138121106,0.550487298,0.287186452,1.573813708,2.232864675,0.125898706,0.937130532,1.007828727,0.213692283,0.123582042,0.104968845,0.110720562,0.121664803,0.328886404,0.13181019300000002,0.145310753,0.149065346,1.5526441919999998,4
0.346266044,0.565781797,0.369603267,2.501458576,4.615665111,0.248833139,0.179696616,2.995186698,0.183634772,1.449387398,0.414089848,0.320303384,0.388273046,0.28923570600000004,0.8890023340000001,0.603413069,1.646441074,2.42327888,0.539964994,0.663506418,0.310822637,0.364206534,0.18742707100000006,1.2957993,3.069574096,1.388273046,0.264294049,0.305863477,0.755688448,0.165985998,0.3822928820000001,2.275525088,0.325116686,0.496791132,0.385647608,0.8071761959999999,0.6607351229999999,0.442532089,0.6000583429999999,0.431592765,0.363914819,0.460035006,0.521732789,0.168872225,0.893250993,0.16968092899999998,2.09241288,0.327378327,0.351051316,1.946184385,0.279370681,0.166004999,0.197029849,0.115791795,0.158947214,0.16416703400000002,0.192177621,0.121526246,0.18173798,0.103146596,0.483531834,0.33083370100000004,1.46743126,2.020952801,0.161667402,1.055580062,0.800764593,0.219453022,0.147551831,0.133656815,0.115791795,0.129980885,0.479782385,0.191148361,0.179679459,0.184458168,1.601308631,1
0.5293930729999999,0.774149984,0.383698761,2.736812838,5.012472196,0.217588179,0.176199555,3.214728313,0.242373689,1.445583095,0.661026374,0.30815062,0.427391166,0.288290435,1.005878615,0.67778837,1.878693994,2.360343184,0.532094058,0.877740705,0.400699078,0.39005402,0.166190022,2.029631395,3.53773435,1.435732444,0.27168732100000004,0.349062599,0.8426279000000001,0.163330156,0.428979981,2.853749603,0.334763267,0.438195106,0.35915157299999995,0.811089927,0.496345726,0.446854147,0.544884017,0.45471878,0.30131871600000004,0.43962504,0.272322847,0.241605242,1.207707708,0.222722723,2.097097097,0.354763855,0.7106652109999999,1.16957867,0.16020566,0.189098189,0.212439712,0.12016562,0.16307216300000002,0.204249704,0.15670215699999998,0.134270634,0.278778779,0.15042315,0.522204022,0.306579307,2.031622532,2.35035035,0.151196651,1.205978706,0.968786969,0.225134225,0.145054145,0.118891619,0.12016562,0.120757121,0.5133770129999999,0.103967604,0.143871144,0.151651652,1.6912366909999998,1
0.64516129,0.856832186,0.326748822,2.187205509,3.7232693,0.227981153,0.181768757,2.2171076480000003,0.207140268,1.630482059,0.7789054009999999,0.284342153,0.338166002,0.276549474,0.763501269,0.463573759,1.3880028999999998,1.776368249,0.4992751,0.594055817,0.583182312,0.35067053299999995,0.183943458,0.984233418,2.335266401,1.430047119,0.259333092,0.261689018,0.7218195,0.179775281,0.391627401,2.093693367,0.324574121,0.372961218,0.289416455,0.662740123,0.5755708589999999,0.329467198,0.494563248,0.328561073,0.277999275,0.380391446,0.330192099,0.15429775699999998,0.8959807320000001,0.191329219,1.949570977,0.287821767,0.3939485170000001,0.939334638,0.076320939,0.156706307,0.176275779,0.097997893,0.135179889,0.16784585300000002,0.181845552,0.105976216,0.18861960000000005,0.099653771,0.403582719,0.260424507,1.3396056,1.985247629,0.120578052,1.0852024690000002,0.923528526,0.16980279999999998,0.160168599,0.13397561300000002,0.097997893,0.102513924,0.357218124,0.113804004,0.13668523300000002,0.173114557,1.7773596269999998,4
